epoch,iter,loss_cons,loss_det_A,loss_det_B,num_pairs,dim_diff,angle_diff
0,0,0.232631,162.0683,157.3532,38,0.104989,0.127643
0,8,0.180904,50.8206,51.9766,24,0.086054,0.09485
0,16,0.166598,42.7618,43.2439,20,0.081866,0.084732
0,24,0.18739,36.7719,37.5812,19,0.097865,0.089525
0,32,0.174188,36.8867,36.8108,12,0.086711,0.087477
0,40,0.163949,36.0437,36.0195,36,0.085346,0.078603
0,48,0.139064,33.3842,32.5373,21,0.06612,0.072944
0,56,0.141546,33.7405,35.4094,26,0.069602,0.071943
0,64,0.133784,35.7357,36.4404,45,0.065064,0.06872
0,72,0.146019,36.4578,38.1193,13,0.079174,0.066846
0,80,0.128466,35.5664,34.2665,28,0.062889,0.065576
0,88,0.131212,31.96,33.4115,13,0.067652,0.06356
0,96,0.118928,35.2586,34.2759,23,0.055461,0.063467
0,104,0.117546,32.8179,32.7083,34,0.056327,0.061219
0,112,0.130893,31.7521,31.0074,20,0.066045,0.064848
0,120,0.120061,33.2141,33.4611,14,0.053119,0.066942
0,128,0.123405,32.0146,32.3389,18,0.064214,0.05919
0,136,0.120969,30.2308,31.3384,27,0.059318,0.061651
0,144,0.127718,30.4514,31.044,20,0.064877,0.062842
0,152,0.120919,30.2703,31.7495,37,0.058444,0.062475
0,160,0.123121,31.8003,31.206,20,0.059674,0.063447
0,168,0.114022,31.3858,31.5978,22,0.053091,0.06093
0,176,0.12228,29.0896,28.9264,29,0.063257,0.059023
0,184,0.11139,29.6896,30.4506,38,0.05066,0.06073
0,192,0.127252,29.2986,32.1112,31,0.065262,0.06199
0,200,0.106877,29.7044,28.9518,30,0.046494,0.060384
0,208,0.106545,28.9303,29.8023,27,0.047351,0.059194
0,216,0.117791,28.5527,28.208,19,0.056267,0.061523
0,224,0.106547,30.2714,29.1749,13,0.048696,0.057851
0,232,0.104691,27.4574,27.0612,16,0.041564,0.063126
0,240,0.129798,30.4473,31.2001,28,0.063523,0.066275
0,248,0.104067,27.9513,27.6322,24,0.043301,0.060766
0,256,0.106629,28.4386,29.3488,29,0.047803,0.058826
0,264,0.118074,27.161,27.5321,39,0.049422,0.068652
0,272,0.11688,28.9091,30.2356,11,0.050355,0.066524
0,280,0.119892,26.2335,25.3553,12,0.051595,0.068296
